name,team,league,position,role,overall,minutes,90s
Matteo Cancellieri,Parma,it Serie A,FW,Wide Midfielder / Winger,30.7,1424,15.8
Anuar,Valladolid,es La Liga,MF,Defensive Midfielder,30.7,1720,19.1
Ben Brereton,Southampton,eng Premier League,FW,Target Man / Physical Striker,30.6,449,5.0
Ollie Watkins,Aston Villa,eng Premier League,FW,Clinical Striker,30.6,2598,28.9
Ignace Van Der Brempt,Como,it Serie A,DF,Ball-winning Midfielder,30.6,1257,14.0
Mauro Arambarri,Getafe,es La Liga,MF,Target Man / Physical Striker,30.5,2661,29.6
Jon Moncayola,Osasuna,es La Liga,MF,Defensive Midfielder,30.5,2099,23.3
Dani Rodríguez,Mallorca,es La Liga,MF,Wide Midfielder / Winger,30.4,2162,24.0
Mitchell Weiser,Werder Bremen,de Bundesliga,DF,Fullback / Wing-back,30.3,2868,31.9
Allan Nyom,Getafe,es La Liga,DF,Defensive Midfielder,30.3,887,9.9
Sidiki Cherif,Angers,fr Ligue 1,FW,Wide Midfielder / Winger,30.3,324,3.6
Tiago Santos,Lille,fr Ligue 1,DF,Fullback / Wing-back,30.2,404,4.5
Adnan Januzaj,Las Palmas,es La Liga,MF,Creative Attacking Midfielder,30.2,598,6.6
Nikola Vlašić,Torino,it Serie A,MF,Wide Midfielder / Winger,30.1,2117,23.5
Mateu Morey,Mallorca,es La Liga,DF,Ball-winning Midfielder,30.1,741,8.2
Bruno Fernandes,Manchester Utd,eng Premier League,MF,Box-to-box Midfielder,30.1,3018,33.5
Daniel Muñoz,Crystal Palace,eng Premier League,DF,Fullback / Wing-back,29.9,3228,35.9
Idrissa Gana Gueye,Everton,eng Premier League,MF,Ball-winning Midfielder,29.9,3063,34.0
Gio Reyna,Dortmund,de Bundesliga,MF,Wide Midfielder / Winger,29.9,350,3.9
Marcus Tavernier,Bournemouth,eng Premier League,FW,Creative Attacking Midfielder,29.8,1939,21.5
Krépin Diatta,Monaco,fr Ligue 1,DF,Ball-winning Midfielder,29.8,508,5.6
William Smallbone,Southampton,eng Premier League,MF,Defensive Midfielder,29.6,690,7.7
Arnaud Kalimuendo,Rennes,fr Ligue 1,FW,Clinical Striker,29.6,2578,28.6
Giuliano Simeone,Atlético Madrid,es La Liga,MF,Wide Midfielder / Winger,29.6,1926,21.4
Salih Özcan,Dortmund,de Bundesliga,MF,Ball-winning Midfielder,29.5,391,4.3
Ben Old,Saint-Étienne,fr Ligue 1,FW,Wide Midfielder / Winger,29.5,528,5.9
Théo Sainte-Luce,Montpellier,fr Ligue 1,DF,Defensive Midfielder,29.5,1018,11.3
Abdel Abqar,Alavés,es La Liga,DF,Defensive Centre-back,29.5,2463,27.4
Carlos Augusto,Inter,it Serie A,DF,Ball-playing Centre-back,29.5,1625,18.1
Ellyes Skhiri,Eint Frankfurt,de Bundesliga,MF,Ball-winning Midfielder,29.4,2231,24.8
José Campaña,Las Palmas,es La Liga,MF,Ball-winning Midfielder,29.4,1189,13.2
Tyler Adams,Bournemouth,eng Premier League,MF,Ball-winning Midfielder,29.3,1965,21.8
Aïssa Mandi,Lille,fr Ligue 1,DF,Defensive Centre-back,29.3,1733,19.3
Carlos Vicente,Alavés,es La Liga,FW,Wide Midfielder / Winger,29.1,3092,34.4
Arthur Atta,Udinese,it Serie A,MF,Wide Midfielder / Winger,29.1,1251,13.9
Jack Grealish,Manchester City,eng Premier League,FW,Creative Attacking Midfielder,29.1,721,8.0
Kasey McAteer,Leicester City,eng Premier League,FW,Wide Midfielder / Winger,29.1,852,9.5
Castello Lukeba,RB Leipzig,de Bundesliga,DF,Defensive Centre-back,29.0,1577,17.5
Lewis Holtby,Holstein Kiel,de Bundesliga,MF,Ball-winning Midfielder,29.0,1238,13.8
